key,firstChapter,firstEpisode,arrows
Eddard_Stark-1,AGOT-1,S1E01,
Eddard_Stark-2,AGOT-12,S1E02,TRUE
Eddard_Stark-3,AGOT-15,S1E02,TRUE
Eddard_Stark-4,AGOT-20,S1E03,TRUE
Catelyn_Stark-1,AGOT-18,S1E03,TRUE
Catelyn_Stark-2,AGOT-22,S1E04,TRUE
Catelyn_Stark-3,AGOT-28,S1E04,TRUE
Catelyn_Stark-4,AGOT-31,S1E05,
Catelyn_Stark-5,AGOT-34,S1E05,
Catelyn_Stark-6,AGOT-55,,
Catelyn_Stark-7,AGOT-55,,TRUE
Catelyn_Stark-8,AGOT-59,,TRUE
Catelyn_Stark-8a,,S1E09,TRUE
Catelyn_Stark-9,AGOT-63,S1E09,TRUE
Catelyn_Stark-10,AGOT-71,S1E09,
Catelyn_Stark-11,ACOK-22,S2E03,TRUE
Catelyn_Stark-12,ACOK-31,S2E04,TRUE
Catelyn_Stark-13,ACOK-39,,TRUE
Catelyn_Stark-14,,S2E06,TRUE
Catelyn_Stark-15,,S2E08,TRUE
Catelyn_Stark-16,,S3E01,TRUE
Catelyn_Stark-17,,S3E02,TRUE
Catelyn_Stark-18,,S3E03,TRUE
Catelyn_Stark-19,ASOS-45,S3E07,TRUE
Catelyn_Stark-20,ASOS-49,S3E09,TRUE
Catelyn_Stark-21,ASOS-81,,TRUE
Catelyn_Stark-22,AFFC-42,,TRUE
Robb_Stark-1,AGOT-1,S1E01,
Robb_Stark-2,AGOT-55,S1E08,TRUE
Robb_Stark-3,AGOT-59,S1E08,TRUE
Robb_Stark-4,AGOT-59,S1E09,
Robb_Stark-5,AGOT-63,S1E09,
Robb_Stark-6,AGOT-71,S1E10,
Robb_Stark-7,ACOK-32,,
Robb_Stark-8,,S2E06,
Robb_Stark-9,ACOK-54,S2E07,TRUE
Robb_Stark-10,ASOS-2,,
Robb_Stark-11,,S2E08,TRUE
Robb_Stark-12,,S3E01,TRUE
Robb_Stark-13,,S3E02,TRUE
Robb_Stark-14,,S3E03,TRUE
Robb_Stark-15,ASOS-45,S3E07,TRUE
Robb_Stark-16,ASOS-49,S3E09,TRUE
Sansa_Stark-1,AGOT-12,S1E02,
Sansa_Stark-2,AGOT-15,S1E02,
Sansa_Stark-3,AGOT-20,S1E03,TRUE
Sansa_Stark-4,ASOS-61,S4E03,TRUE
Sansa_Stark-5,ASOS-68,S4E04,TRUE
Sansa_Stark-6,ASOS-68,,
Sansa_Stark-7,,S4E05,TRUE
Sansa_Stark-8,ASOS-80,,
Sansa_Stark-9,,S5E02,
Sansa_Stark-10,,S6E01,
Sansa_Stark-11,,S6E04,TRUE
Sansa_Stark-12,,S6E05,
Sansa_Stark-13,,S6E07,
Sansa_Stark-14,,S6E08,
Bran_Stark-1,AGOT-0,,
Bran_Stark-1A,AGOT-37,,
Bran_Stark-2,ACOK-69,S2E10,
Bran_Stark-3,,S3E02,
Bran_Stark-4,,S3E04,
Bran_Stark-5,,S3E06,
